Andrew Collier;
Andrew Katz;
Andrew Plotkin;
Andrew771;
Andromeda;
Andy;
A'n'F;
Angers Informatique Service;
Anik Microsystems;
Anima Scientific Computing;
Animagic;
Anirog;
Annvic Racing Advisory Services;
Anokhin, Pavel;
Anonymous;
Ansdell, M.;
Ant;
Antares;
Antelo, Sebastian Gomez;
Anthraxx Developments;
Antic;
Antipod;
Antisoft;
Antok;
Anubis;
Anvil Computing;
Anwi;
APA;
Apeano;
Apenao;
Aperks;
Apina;
Apocalypse;
Apogee Games;
Appleby Structured Systems;
Appledean Systems;
Applications Specialities;
AP's Adventures;
APSIS;
Aqua Soft;
Aquarious Edizioni;
Aquarius;
Aquarius Edizioni;
Arab, Niall De;
Araque, Esteban Porqueras;
Arcade;
Arcade Age;
Arcadia;
Arcana Design;
Archer, Keith;
Arcot;
Arda;
ARDENT;
ardentcrest;
Ardo;
AREAsoft;
Arely, J.;
Arena;
Arghsoft;
Argila, J.;
Argus Press;
Arh. Zivotic;
Ariola Eurodisc;
Ariolasoft UK;
Arkham;
Armadillo Soft;
Armstrong, Ian;
Arno;
Arnsvik-Data;
Aron, Joseph;
Arrow;
Arrowsoft;
ARS;
Arsema;
Arston;
ART;
Art Studio;
Art, Alex;
Artic Computing;
Artice;
Artwork;
Aryxoft;
Asbrock, Dieter;
Ascendancy;
Ash Byproducts;
Ashler, Baron;
Ashleysoft;
Ashton, David;
Asirus;
ASK;
Asoft;
A-Soft;
ASP;
Asphyxia;
Aspic;
Aspinall, David;
Assassin;
Assender, K.;
Astor;
Astra;
Astral;
Astro;
Astro Programmes;
Astrocalc;
Astros Productions;
Astro-Service Maitenbeth;
Astrosoft Games;
Asylum Games;
Atarisoft;
ate Bit;
Atek;
Atkin, P.D.;
Atlantic Soft;
Atlantis;
Atlantis Gold;
Atlas Adventure;
Atomic Destruction;
Atomica;
Atrox Programming Co;
Audio Spectrum;
Audiogenic;
Audiogenic - Sinclair User;
Augen Blick;
Aurora;
Aurun;
Auryn;
Auryn Creative Group;
Austrian Spectrum Club, The;
Automata UK;
Avalon;
Avalon Computing;
AVB;
AVC;
Aventuras AD;
Aventuras AM;
Aventuras Espanolas;
Aventuras Level 10;
Aventuras Mitologicas;
Avery, Simon;
AVG Records;
Aviation Computer Services;
Avonsoft;
AVP Computing;
AW;
AWA;
Awk;
AWS;
Axel Soft;
Axelsoft;
Axis;
Axoft;
Axxent;
AY Group;
AY RIDERS;
AYChip;
AYLand;
Azed;
Aztec;
B.A., Kpamapehko;
B.A.D. Games;
B.E.;
B.G. Services;
B.O.S.;
B.P. Mills;
B.P. Wheelhouse;
B.S. Cross;
B.Sides;
B.W. Friedrich;
B+H;
Babboni, Luis;
Babeta;
Bacon, Richard Mark;
Badasoft;
BadBeard;
Badge Electronics;
Baeza, Isidoro Aguilar;
Bagley, James;
Bahensky, Zbysek;
Bail, Wolfgang;
Bailey, Michael;
Bailey, Sean;
Baines, Steve;
BAJ Services;
Bajtek;
Baker, D.;
Bakersoft;
Balaganoff;
Baldomero, Garcia;
Baliasov, V.A.;
Ball, Albert;
Ball, John R.;
Ballpoint;
Balsoft Designs;
Bamby;
Banks, Deryck;
Bannister, Steven;
Bano, Cesar Hernandez;
Barber, M.;
Barber, Matt;
Barisoft;
Barn;
Barnard, R.;
Barragan, Alberto M.;
Barreiro, Jorge Perez;
Barriuso, Imanol;
Barry, Doug 'DarkHalf';
Barskiy, Evgeniy;
Bartis, B.;
Bartle Electronics;
Bartlett, R.;
Barton, James;
Base Binaria;
Base Two;
BaSe1 PrOdUcTiOnZ;
Basic;
Basic Services;
Bass-On;
Bastec;
Bat;
Bates, Neil;
Bates, Nigel;
Bauer, Thomas;
Baumsoft;
Baushkin, Alexey;
Bautista, Martin Tosas;
Baxter;
bay 6;
Bayer, Michael;
Bayliss, David;
Bazarkin, A.;
BBC;
BB-Soft;
BC Masters;
Beacon;
Beam;
Beamscan;
BEAP Associates;
Beard;
Beard, Bad;
Beau-Jolly;
Bebb, N.;
Bebbington, Shaun;
Bec Sports;
Bech, Jorgen;
Beck, Edward;
Beddoe, K.S.;
Bee, Philip;
BEEP, Dr;
Beermanz;
Beja Soft;
Bel Tech;
Bell, Gareth;
Bell, John M.;
Bell, S.;
Bell, William;
Bellend;
Bellesoft;
Bellflower;
Belltons Informatica;
Belousov, Aleksandr;
Ben Parrish;
Benedetti, Emanuele;
Benedi, Emilio Jose Grao;
Ben-Gershon, Michael;
Benishek, Ivan;
Benk, Stefan;
Benkosoft;
Benn Computer Consultants;
Bennett, Bill;
Benschop, Lennart C.;
Bensoft;
Bentley, Harold;
Berglind, Rickard;
Bergstrom, Robert;
Berman, Rodney S.;
Bernard Babani Publishing;
Berndt, Hans-Joachim;
Bernhart, Thomas;
Berrocal, Antonio Arguello;
Berry, A.P.;
Berrysoft;
Bertoldo, Thomas;
Bes;
Betasoft;
Beto;
Bett, D.;
Betterbytes;
Betts, Timothy;
Beyker Soft;
Beyond;
Beyond - Sinclair User;
Beyond Belief;
Beyond Dreams;
Beyond Horizons;
Bezemer, Hans;
bfox;
BG and SI Soft;
Bhattacharya, R.;
BH'Soft;
BIBLEchip;
Bideaux, Baptiste;
Big Al;
Big Apple Entertainment Company, The;
Big Ben;
Big Boys;
Big K;
Big Man;
bigjon;
Bignose;
Bill & Marion Clews;
Bill Gilbert;
Bill Harper;
Binary Dimension;
Binary Masters;
Binary Star Technology;
Bingham, Grant;
Bingham, P.;
BioTech;
Biotech;
Birdbrain;
Birdseed;
Birdwing;
Birger Larsson;
Bismilla;
Bitchin';
Bitmunchers;
BITS;
BJ Enterprises;
BK;
BKA;
Blaby Computer Games;
Black Cat;
Black Eagle Company;
Black Jet;
Black Knight;
Black Mountain;
Black Shark;
Black Star;
Black, Guy;
Black, Wlodek;
Blackboard;
Blackmore, J.;
Blacksoft;
Blade;
Blade - Ice'Di Griz;
Blajer, Ivan;
Blakelow;
Bland, Adrian;
Bland, Lawrence;
Bland, Nigel;
Blandford Press;
Blerkotron;
Blerkotronic;
Blews, Tony;
Blindmouse;
Blitsas, Theodore;
Block-Byte Computing;
Blood;
Blood, Andrew;
BloodBaz;
Bloodbaz;
Blue Ribbon;
Bluff Relay;
Bluston;
Boalox Informatica;
Bobek;
Bobosoft;
Bobrowski, Marek;
bobs;
Bob's Stuff;
BOCTOREH;
Bodkin;
Bodrato, Stefano;
Bodrov, Vadim;
Boettcher, D.;
Bog Brothers, The;
Bogdanovich, Andrey;
Bolokov, Juan;
Bolsoftware Communications;
Bolton, Sean;
Bond;
Bond Systems;
Bonfield, G.R.;
Boniosoft;
Bonni Mierzejewska;
Bonny Bonnet Hoods, The;
Boo, The;
Boocock, D.;
Book;
Book Club Associates;
Boom Soft;
Boomer;
Boone, Tim;
Boot;
Bootleg;
Boots;
Bordoni, Luca;
Borkowski, Marcin;
Born, Chris;
Borro, Alfonso Fernandez;
Bos, Richard;
Bosetti, Peter;
Bosoft;
Bourne Educational;
Bowden, Dave;
Bowes, J.;
Bown, P.K.;
Bowyer, A.;
Boxoft;
Boxsoft;
Boyd, Stephen;
Br0mba;
Brace, C.;
Bradders, J.;
Bradley, M.D.;
Bradway;
Brady, Stuart;
Brain Wave;
Brainbox;
Braingames;
Brainwave;
Bramley, J.S.;
Brammen, Thomas;
Brane;
Branegan, John;
Braunert, Sebastian;
Breadhill;
Brereton, R.;
Bridge;
Bridgebrook Intek;
Briggs, J.R.;
Brimardon Computer Racing Service;
Britannia;
British Micro;
British Sporting Services;
Britton, Adam;
Broad, Andrew;
Broad, James;
Broad, Steve A.J.;
Broadcast Services;
Broadsoft;
Broadway Video;
Broglie, Gerd;
BrokImSoft;
Brom;
Brooker, Clive;
Brooks, I.;
Brothers;
Brown;
Brown, Andy;
Brown, Chris;
Brown, Edwina;
Brown, J.;
Brown, Kenny;
Bruce Publishing;
Brunyee, Paul;
Brut Film;
Brutal Creators;
Bryan, Tony;
