TOSEC path;WoS FTP path;Original TOSEC game name;ZXDB-based TOSEC game name;ZXDB ID;ZXDB release ID;WoS URL
tosec\Games\[Z80]\ZX Karteisystem (1983)(Martin Gehrke)(de).zip;/pub/sinclair/utils/ZX-Karteisystem.z80.zip;ZX Karteisystem (1983)(Martin Gehrke);ZX-Karteisystem (1983)(Martin Gehrke);0009027;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009027
tosec\Applications\[TAP]\Abakus (19xx)(Zavod za Ucbenike)(sr).zip;/pub/sinclair/games/a/Abakus.tap.zip;Abakus (19xx)(Zavod za Ucbenike);Abakus (19xx)(-);0009030;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009030
tosec\Applications\[TAP]\A.B.C. (1983)(Artic Computing).zip;/pub/sinclair/games/a/ABC.tap.zip;A.B.C. (1983)(Artic Computing);A B C (1983)(Artic Computing);0009031;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009031
tosec\Applications\[TZX]\A.B.C. (1983)(Artic Computing).zip;/pub/sinclair/games/a/ABC.tzx.zip;A.B.C. (1983)(Artic Computing);A B C (1983)(Artic Computing);0009031;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009031
tosec\Applications\[TAP]\Adding and Subtracting (1983)(Widgit Software)[16K].zip;/pub/sinclair/compilations/AddingSubtracting.tap.zip;Adding and Subtracting (1983)(Widgit Software);Adding & Subtracting (1983)(Widgit Software);0009032;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009032
tosec\Applications\[TZX]\Adding and Subtracting (1983)(Widgit Software)[16K].zip;/pub/sinclair/compilations/AddingSubtracting.tzx.zip;Adding and Subtracting (1983)(Widgit Software);Adding & Subtracting (1983)(Widgit Software);0009032;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009032
tosec\Applications\[TAP]\Add-Venture (1983)(AWA Software).zip;/pub/sinclair/games/a/AddVenture.tap.zip;Add-Venture (1983)(AWA Software);Add Venture (1983)(AWA Software);0009033;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009033
tosec\Applications\[TAP]\Alphabet - A to I (1983)(Widgit Software).zip;/pub/sinclair/games/a/Alphabet(A-I).tap.zip;Alphabet - A to I (1983)(Widgit Software);Alphabet (1983)(Widgit Software);0009034;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009034
tosec\Applications\[TAP]\Alphabet - J to R (1983)(Widgit Software).zip;/pub/sinclair/games/a/Alphabet(O-R).tap.zip;Alphabet - J to R (1983)(Widgit Software);Alphabet (1983)(Widgit Software);0009034;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009034
tosec\Applications\[TAP]\Alphabet - S to Z (1983)(Widgit Software).zip;/pub/sinclair/games/a/Alphabet.tap.zip;Alphabet - S to Z (1983)(Widgit Software);Alphabet (1983)(Widgit Software);0009034;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009034
tosec\Games\[TAP]\Alphabet Games (1987)(Atlantis Software).zip;/pub/sinclair/games/a/AlphabetGames.tap.zip;Alphabet Games (1987)(Atlantis Software);Alphabet Games (1983)(Sinclair Research);0009035;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009035
tosec\Games\[TZX]\Alphabet Games (1987)(Atlantis Software)[a].zip;/pub/sinclair/games/a/AlphabetGames.tzx.zip;Alphabet Games (1987)(Atlantis Software);Alphabet Games (1983)(Sinclair Research);0009035;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009035
tosec\Applications\[TAP]\Alphabet Zoo (1984)(Spinnaker Software).zip;/pub/sinclair/games/a/AlphabetZoo.tap.zip;Alphabet Zoo (1984)(Spinnaker Software);Alphabet Zoo (1984)(Spinnaker Software Corporation);0009038;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009038
tosec\Applications\[TAP]\Balloons (19xx)(-).zip;/pub/sinclair/games/j/Jumble.tap.zip;Balloons (19xx)(-);Jumble (1983)(Stell Software);0009039;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009039
tosec\Educational\[Z80]\Biology - Intro (1984)(Longman Software)[a].zip;/pub/sinclair/games/b/Biology-O-LevelRevisionAndCSE.z80.zip;Biology - Intro (1984)(Longman Software);Biology - O-Level Revision and CSE (1984)(Longman Software);0009042;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009042
tosec\Educational\[Z80]\Biology - Text (1984)(Longman Software).zip;/pub/sinclair/games/b/Biology-O-LevelRevisionAndCSE.z80.zip;Biology - Text (1984)(Longman Software);Biology - O-Level Revision and CSE (1984)(Longman Software);0009042;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009042
tosec\Educational\[Z80]\Biology - Skeleton (1984)(Longman Software).zip;/pub/sinclair/games/b/Biology-O-LevelRevisionAndCSE.z80.zip;Biology - Skeleton (1984)(Longman Software);Biology - O-Level Revision and CSE (1984)(Longman Software);0009042;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009042
tosec\Educational\[TAP]\Body Works - Cells (1985)(Genesis Productions).zip;/pub/sinclair/games/b/BodyWorks.tap.zip;Body Works - Cells (1985)(Genesis Productions);Body Works (1985)(Genesis Productions);0009045;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009045
tosec\Educational\[TAP]\Body Works - Circulation (1985)(Genesis Productions).zip;/pub/sinclair/games/b/BodyWorks.tap.zip;Body Works - Circulation (1985)(Genesis Productions);Body Works (1985)(Genesis Productions);0009045;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009045
tosec\Educational\[TAP]\Body Works - Digestion (1985)(Genesis Productions).zip;/pub/sinclair/games/b/BodyWorks.tap.zip;Body Works - Digestion (1985)(Genesis Productions);Body Works (1985)(Genesis Productions);0009045;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009045
tosec\Educational\[TAP]\Body Works - Marathon (1985)(Genesis Productions).zip;/pub/sinclair/games/b/BodyWorks.tap.zip;Body Works - Marathon (1985)(Genesis Productions);Body Works (1985)(Genesis Productions);0009045;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009045
tosec\Educational\[TAP]\Body Works - Muscles (1985)(Genesis Productions).zip;/pub/sinclair/games/b/BodyWorks.tap.zip;Body Works - Muscles (1985)(Genesis Productions);Body Works (1985)(Genesis Productions);0009045;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009045
tosec\Educational\[TAP]\Body Works - Nerves (1985)(Genesis Productions).zip;/pub/sinclair/games/b/BodyWorks.tap.zip;Body Works - Nerves (1985)(Genesis Productions);Body Works (1985)(Genesis Productions);0009045;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009045
